Type,No.,Address,City,St.,Opened,Closed,County
Discount Store,712,"Jackson Square Shopping Center, 1601 South Broad Street",Scottsboro,Alabama,"July 4, 1981","March 20, 1990",N/A
Discount Store,712,"Jackson Square Shopping Center, 1509 South Broad Street",Scottsboro,Alabama,"March 21, 1990","September 14, 1999",N/A
Supercenter,712,24833 John T. Reid Parkway,Scottsboro,Alabama,"September 15, 1999",,Jackson County
Discount Store,700,"Valley Creek Shopping Center, 212 Highland Avenue",Selma,Alabama,"July 4, 1981","September 26, 1995",N/A
Supercenter,700,1501 Highway 14 East,Selma,Alabama,"September 27, 1995",,N/A
Supercenter,5174,7855 Moffett Road,Semmes,Alabama,"January 21, 2004",,Mobile County
Discount Store,660,"Towne Plaza Shopping Center, 500 South Montgomery Avenue",Sheffield,Alabama,"July 4, 1981","May 27, 1983",N/A
Neighborhood Market,2165,952 East Lawrence Harris Highway,Slocomb,Alabama,"December 10, 2014","January 28, 2016",N/A
Neighborhood Market,2260,87395 US Highway 278,Snead,Alabama,"November 5, 2014","January 28, 2016",N/A
Supercenter,3386,160 Springville Station Boulevard,Springville,Alabama,"January 23, 2006",,St. Clair County
Supercenter,2723,690 Highway 78,Sumiton,Alabama,"September 15, 1999",,Walker County
Discount Store,730,211 West Fort Williams Street ,Sylacauga,Alabama,"July 4, 1981",March 1996,Talladega County
Supercenter,730,"Payton Park, 41301 US Highway 280",Sylacauga,Alabama,March 1996,,N/A
Discount Store,432,"Northgate Shopping Center, 65362 Highway 77",Talladega,Alabama,"August 18, 1981",1989,N/A
Discount Store,432,214 Haynes Street,Talladega,Alabama,1989,"April 20, 2004",Talladega County
Supercenter,432,214 Haynes Street,Talladega,Alabama,"April 21, 2004",,Talladega County
Discount Store,1057,"Patton Plaza Shopping Center, 1300 Gilmer Avenue",Tallassee,Alabama,"February 3, 1987","July 22, 2014",N/A
Supercenter,1057,2190 Gilmer Avenue,Tallassee,Alabama,"July 23, 2014",,Elmore County
